 Altitude (ft) , Speed (mph), Fuel (gal/hr)
497.7814,39.14639,0.4879257
490.0076,39.14639,0.4527599
492.8651,38.52501,0.6259516
494.2166,38.52501,0.6830961
493.1967,38.52501,0.7516694
492.9782,39.14639,1.473448
492.3174,40.38913,0.6743046
495.1213,39.76776,0.8510128
496.033,39.14639,0.7296907
497.175,39.14639,0.5529825
497.7597,39.76776,0.5626531
497.0651,39.76776,0.5459493
498.6132,40.38913,0.3613288
496.335,40.38913,0.8527711
496.7401,41.0105,0.996951
497.6372,41.63187,1.075195
500.1739,41.63187,0.9151905
501.3441,41.63187,0.9151905
502.5156,42.87461,0.9055198
506.0662,42.87461,0.664634
507.8394,42.87461,0.6743046
518.5692,42.87461,0.6743046
518.9648,42.87461,0.6549634
520.3492,42.87461,0.6532051
523.0016,42.87461,0.6672714
520.1579,42.87461,0.6567217
524.0834,43.49598,0.6628757
525.5497,43.49598,0.7033164
526.4785,43.49598,0.725295
528.9838,43.49598,0.7041955
530.0435,43.49598,0.7965058
527.1359,43.49598,0.7965058
527.0566,43.49598,0.7692523
527.7447,44.11736,0.6690297
526.4999,43.49598,0.5573782
524.9216,43.49598,0.5600157
524.9963,43.49598,0.5608948
527.0274,43.49598,0.2426441
531.9196,42.87461,0.1591253
548.4254,42.25324,0.386824
551.9315,42.25324,0.38067
551.7786,41.63187,0.4008904
550.4921,41.63187,0.567928
550.0169,41.63187,0.6496885
550.0331,41.63187,0.6373805
549.4404,41.63187,0.6127644
547.8336,42.25324,0.6751837
544.5007,42.25324,0.858046
541.6578,42.25324,0.8650792
539.3734,42.25324,0.9231027
535.2717,42.87461,0.9837638
529.9814,43.49598,0.9960718
529.1879,44.11736,0.9055198
531.4302,44.11736,0.7349656
536.1102,44.11736,0.749032
533.9421,44.11736,0.3296795
528.4231,43.49598,0.3525373
527.3838,42.87461,0.477376
524.9749,42.87461,0.477376
526.8309,42.87461,0.48353
530.1801,42.87461,0.4940798
529.6664,42.25324,0.4844092
535.5993,42.25324,0.5995772
532.1405,42.25324,0.6039729
532.0514,41.63187,0.5397953
527.6639,41.63187,0.525729
525.6753,41.63187,0.6171601
525.0091,41.63187,0.7349656
545.3133,41.63187,0.7525485
549.8412,42.25324,0.6470511
548.5783,41.63187,0.392978
545.6611,41.63187,0.3534165
566.1277,41.0105,0.4826509
564.9473,41.0105,0.6277099
562.9222,41.0105,0.6312265
558.8489,41.0105,0.6321056
556.1913,41.63187,0.6171601
558.5522,41.63187,0.5099044
573.8256,41.0105,0.4914423
574.1127,41.0105,0.6066104
570.7877,41.0105,0.5573782
566.663,41.0105,0.6197976
564.4951,41.0105,0.6373805
558.9063,41.0105,0.5301247
565.9307,41.0105,0.7226576
570.8661,41.0105,0.7411196
573.4758,41.0105,0.7428779
571.6155,41.0105,0.7463945
572.6205,41.0105,0.6488094
571.0121,41.0105,0.5371579
550.5724,41.0105,0.5292456
549.972,41.0105,0.4386936
546.7645,41.0105,0.4562765
538.0388,40.38913,0.4536391
518.7197,40.38913,0.4545182
521.0464,40.38913,0.4597931
509.54,40.38913,0.4597931
501.385,40.38913,0.4527599
497.4009,39.76776,0.5600157
499.0914,39.76776,0.5582574
497.6602,39.76776,0.5600157
497.3687,39.76776,0.5626531
494.406,39.76776,0.5573782
492.6853,39.76776,0.5591365
492.3819,39.76776,0.5573782
495.4829,39.14639,0.5485868
490.373,39.14639,0.5292456
491.9001,39.14639,0.6215559
483.7337,39.14639,0.6329848
485.0813,39.76776,0.6971624
484.847,39.76776,0.6892501
483.3939,39.76776,0.7534277
483.1257,39.76776,0.7587025
483.1552,40.38913,0.8052973
480.0716,40.38913,0.9081573
479.8399,40.38913,0.9134321
479.0171,41.0105,0.6910083
477.6638,41.0105,0.4967172
478.152,41.0105,0.5626531
477.6782,41.0105,0.6022146
476.9469,41.0105,0.5969398
477.0122,41.0105,0.6013355
476.4255,41.0105,0.664634
477.7259,41.0105,0.6637548
474.6319,41.0105,0.6813377
475.1205,41.0105,0.6734254
475.9961,41.0105,0.6830961
473.9684,41.0105,0.6822169
474.2548,41.0105,0.6883709
470.3888,41.0105,0.6936458
470.2873,41.63187,0.6127644
470.1381,41.63187,0.5661697
469.6425,41.63187,0.5714446
467.2093,41.63187,0.5714446
466.3028,41.63187,0.6092478
467.0189,41.63187,0.6321056
467.4472,41.63187,0.6329848
477.4463,41.63187,0.6329848
475.0229,41.0105,0.5494659
474.0049,41.0105,0.5943024
473.128,41.0105,0.7367239
472.8329,41.0105,0.8228801
469.9665,41.0105,0.9081573
465.7635,41.63187,0.8949701
464.5661,42.25324,0.8061764
461.894,42.25324,0.8061764
461.1643,42.25324,0.5125418
461.2123,42.25324,0.664634
461.0445,42.25324,0.7006789
461.244,42.25324,0.7059538
461.8209,42.25324,0.719141
460.6705,42.25324,0.1468173
461.2388,41.63187,0.2118741
459.5084,41.0105,0.2022035
460.0042,41.0105,0.3920989
460.5425,39.76776,0.6549634
461.9496,39.76776,0.6241933
462.5472,39.76776,0.6321056
462.2993,39.76776,0.6110061
460.8359,39.76776,0.6189184
460.1626,39.76776,0.6294681
460.5255,39.76776,0.6180393
460.0881,39.76776,0.6180393
460.0881,40.38913,0.616281
460.5377,40.38913,0.622435
461.6016,41.0105,0.6277099
462.9909,41.0105,0.6259516
461.9575,40.38913,0.6927666
462.4406,40.38913,0.6936458
463.2054,40.38913,0.6971624
463.6309,40.38913,0.7050747
462.1389,40.38913,0.7033164
462.5079,40.38913,0.6945249
462.5079,40.38913,0.8026598
462.7923,40.38913,0.8026598
463.4243,41.0105,0.7261742
464.2413,41.0105,0.3507791
465.0743,40.38913,0.2505565
465.0743,40.38913,0.6725463
464.7249,40.38913,0.616281
462.7058,41.0105,0.5723237
463.1027,41.0105,0.5758403
463.1027,40.38913,0.5819943
462.3802,41.0105,0.574082
462.1974,41.0105,0.5116627
462.6167,40.38913,0.2663811
462.6167,40.38913,0.4281439
462.6613,39.76776,0.4246273
462.3531,39.76776,0.5116627
462.2865,39.76776,0.6857335
462.3786,39.76776,0.6655131
461.9328,39.76776,0.6321056
462.2368,39.76776,0.6417762
462.8263,39.76776,0.6470511
462.8263,39.76776,0.6391388
463.9174,39.76776,0.4747386
464.2246,39.76776,0.4782552
464.0486,39.76776,0.48353
463.5909,39.14639,0.6154018
464.0937,39.14639,0.7340865
464.7155,39.14639,0.6259516
465.7159,39.14639,0.6303473
465.4337,39.76776,0.6268307
464.9557,39.76776,0.6663923
465.2617,39.76776,0.6795794
465.4908,39.76776,0.7885935
465.8697,39.76776,0.7850769
466.2778,40.38913,0.670788
